Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director,Actors,Plot,Country,IMDb Rating,Runtime
Bojhena Shey Bojhena,2012,"Comedy, Drama, Romance",Not Rated,tt2597126,Abhimanyu Mukherjee,Raj Chakraborty,"Soham Chakraborty, Mimi Chakraborty, Abir Chatterjee","A horrible accident takes place between two buses on the highway in Behrampore which includes students returning after winning their kabadi match, a newly-wed couple, a lover taking his love of life to meet his parents and a girl ...",India,7.7,145 min
Bedroom,2012,Drama,N/A,tt2600010,Mainak Bhaumik,Mainak Bhaumik,"Abir Chatterjee, Rahul Banerjee, Rudranil Ghosh","The film is about Joy, Deb and Ananda. While Joy is a struggling actor and conducts workshops, Ananda works in an I.T. company and Deb is an actor. Joy's wife who is a fashion photographer runs the entire show as Joy hardly earns ...",India,6,127 min
Baahubali: The Beginning,2015,"Action, Drama",Not Rated,tt2631186,Vijayendra Prasad,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty","A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler.",India,8,159 min
Commando,2013,"Action, Adventure, Thriller",Not Rated,tt2658126,Ritesh Shah,Dilip Ghosh,"Vidyut Jammwal, Hsieh Chang Hai, Nelson Liao Sheng Hua","Karan, a disavowed Indian commando, helps protect a woman from a local thug who is hellbent on forcing her to marry him.",India,6.3,124 min
Kill Command,2016,"Action, Horror, Sci-Fi",Not Rated,tt2667380,Steven Gomez,Steven Gomez,"Thure Lindhardt, Vanessa Kirby, David Ajala","Set in a near future, technology-reliant society that pits man against killing machines.",United Kingdom,5.7,99 min
Shibpur,2023,"Crime, Drama, Thriller",N/A,tt27880538,Arindam Bhattacharya,"Arindam Bhattacharya, Ajanta Singha Roy","Parambrata Chattopadhyay, Swastika Mukherjee, Mamata Shankar","A tale of the infamous Shibpur back in seventies, where the rise of a woman gangster comes under the scan of West Bengal police and government.",India,5.6,132 min
Bombay Talkies,2013,Drama,Not Rated,tt2797242,Zoya Akhtar,"Zoya Akhtar, Dibakar Banerjee, Karan Johar","Rani Mukerji, Randeep Hooda, Saqib Saleem",One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.,India,6.6,127 min
Fukrey,2013,"Comedy, Drama, Romance",Not Rated,tt2806788,Mrighdeep Lamba,Mrighdeep Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal","The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.",India,6.9,139 min
Goynar Baksho,2013,"Comedy, Drama, Family",N/A,tt2819358,Sirshendu Mukhopadhyay,Aparna Sen,"Moushumi Chatterjee, Konkona Sen Sharma, Srabanti Chatterjee","Shirshendu Mukhopadhyay's famous tale of 3 generations of women and their changing position in society, seen in relation to a box of jewels, handed down from one generation to the next.",India,7.1,141 min
Me and My Girlfriends,2013,"Comedy, Drama",N/A,tt2837596,Mainak Bhaumik,Mainak Bhaumik,"Swastika Mukherjee, Raima Sen, Parno Mittra","Three girlfriends--Preenita, Rhea, and Shreemoyee--share everything with one another from the angst of the ""will-he-or-won't-he-call"" debates, to the addictive gossip sessions, the analysis of dumping and getting dumped, the compl...",India,5.5,120 min
Madras Cafe,2013,"Action, Drama, Thriller",Not Rated,tt2855648,Shubhendu Bhattacharya,Shoojit Sircar,"John Abraham, Nargis Fakhri, Raashi Khanna",An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,India,7.6,130 min
Proloy,2013,Crime,Unrated,tt2881034,Raj Chakraborty,Raj Chakraborty,"Arindol Bagchi, Paran Banerjee, Mimi Chakraborty","The story revolves around a brave heart Barun Biswas, portrayed by Parambrata Chatterjee, who raised voice against numerous gang rapes in a village called Dukhiya. Dukhiya, where gang rapes had become a festival. These were celebr...",India,7.3,122 min
Ugly,2013,"Crime, Drama, Mystery",Not Rated,tt2882328,Akhilesh Jaiswal,Anurag Kashyap,"Rahul Bhat, Ronit Roy, Tejaswini Kolhapure",The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,India,7.9,128 min
Muktodhara,2012,Drama,N/A,tt2909140,N/A,"Shiboprosad Mukherjee, Nandita Roy","Nigel Akkara, Sarit Shekhar Banerjee, Bratya Basu","Niharika, an unhappy housewife decides to organise a play involving the inmates of Bengal. With Niharika unaware of the inmates' getaway plan, she ends up changing their conscience for good.",India,7.3,160 min
Dr. Munshir Diary,2000,"Crime, Thriller",N/A,tt2929826,Sandip Ray,Sandip Ray,"Subhendu Chatterjee, Dipankar Dey, Shankar Chakraborty",A psychologist decides to publish a book about his 3 past patients who all had committed crimes in past but not caught. Doctor gets murdered and it's now up to Feluda to demystify it.,India,7.4,N/A
The Anomaly,2014,"Action, Mystery, Sci-Fi",Not Rated,tt2962726,Simon Lewis,Noel Clarke,"Noel Clarke, Ian Somerhalder, Brian Cox","An ex-soldier named Ryan Reeve is taken captive by the ""Anomaly"" organization where he learns that he only has 9:47 minutes/seconds to find out why they want him dead.",United Kingdom,4.7,97 min
Sixteen,2013,"Drama, Romance, Thriller",Unrated,tt2976172,Raj Purohit,"Raj Purohit, LAl Mohan","Wamiqa Gabbi, Izabelle Leite, Mehak Manwani","Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time, it was the age of innocence, the age of sweetness, the age when one had the first crush. But times have changed. In the times o...",India,6.2,138 min
Roy,2015,"Drama, Romance",Not Rated,tt2976182,Vikramjit Singh,Vikramjit Singh,"Arjun Rampal, Jacqueline Fernandez, Ranbir Kapoor","Successful film-maker Kabir meets with Ayesha and falls in love. He suffers a heartbreak when she leaves him. Meanwhile, a thief named Roy undergoes a change of heart when he experiences love.",India,3.2,146 min
The Hundred-Foot Journey,2014,"Comedy, Drama",PG,tt2980648,Steven Knight,Lasse Hallström,"Helen Mirren, Om Puri, Manish Dayal",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,"India, United Arab Emirates, United States",7.3,122 min
Highway,2014,"Crime, Drama, Romance",Not Rated,tt2980794,Imtiaz Ali,Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar","Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",India,7.6,133 min
Shabdo,2012,Drama,N/A,tt3028362,Kaushik Ganguly,Kaushik Ganguly,"Ritwick Chakraborty, Raima Sen, Churni Ganguly","Tarak is a professional foley artist whose obsession with creating sound effects for films makes him oblivious to all the talking around him. As his family and friends struggle to cope up with his changing soundscape, Dr Swati tri...",India,8.1,104 min
Ganesh Talkies,2013,"Drama, Romance",N/A,tt3037398,Anjan Dutt,Anjan Dutt,"Biswajit Chakraborty, Pallavi Chatterjee, Rita Koiral","Pashupati Ghosh (Bengali) and Pravin Agarwal (Marwari) are childhood friends living in the older part of Kolkata. Pasupati's ancestral business is in the doldrums. His only possession is his huge mansion, which the local promoter ...",India,5,132 min
Cloud Capped Star,2013,"Biography, Drama",Unrated,tt3051894,Kamaleswar Mukherjee,Kamaleswar Mukherjee,"Saswata Chatterjee, Ananya Chatterjee, Abir Chatterjee","To Ritwik Ghatak film was not merely a form of entertainment, but a weapon, a medium to portray struggle of common men. He was successful neither in his career nor he could he become a good family man or husband. Still he was an a...",India,8.1,154 min
Hasee Toh Phasee,2014,"Comedy, Romance",Not Rated,tt3173910,Harshavardhan Kulkarni,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma","Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.",India,6.8,141 min
Elar Char Adhyay,2012,Drama,N/A,tt3284238,Rabindranath Tagore,Bappaditya Bandopadhyay,"Shamaun Ahmed, Barun Chanda, Vikram Chatterjee",Indranath is a leader of a group which is fighting for Indian independence. Ela is the teacher of the group. Ela is caught in a dilemma between her love for Atindra and her commitment towards her country.,India,5.4,104 min
Queen,2013,"Adventure, Comedy, Drama",Not Rated,tt3322420,Vikas Bahl,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,India,8.1,146 min
Take One,2014,"Drama, Family",Not Rated,tt3324612,Shawon Babu,Mainak Bhaumik,"Swastika Mukherjee, Rahul Banerjee, Vikramjit Chaudhury","Indian Actress Doel Mitra shoots to overnight infamy, igniting the wrath of conservative Indian society when a bold sex-scene from one of her foreign films is leaked on the Internet, When the public scandal happens. Doel is in the...",India,5,97 min
Paper Planes,2014,"Drama, Family",Not Rated,tt3328716,Robert Connolly,Robert Connolly,"Sam Worthington, Ed Oxenbould, Deborah Mailman",An imaginative children's film about a young Australian boy's passion for flight and his challenge to compete in the World Paper Plane Championships in Japan.,"Australia, Japan",6.2,96 min
The Reincarnate,2014,"Biography, Drama, History",TV-PG,tt3365690,Srijit Mukherji,Srijit Mukherji,"Prasenjit Chatterjee, Jisshu Sengupta, Swastika Mukherjee","The life and notable works of Anthony Firingee, a 19th-century Bengali-language folk-poet of Portuguese origin. The time frame of the storyline jumps between two different time periods: the 19th century and the present day.",India,8,150 min
Golpo Holeo Shotti,2014,Horror,Not Rated,tt3365886,Debaloy Bhattacharya,Birsa Dasgupta,"Soham Chakraborty, Mimi Chakraborty, Rajatabha Dutta","The film is about Rudra (Soham), a pizza delivery boy and a ghost novel writer Anuradha (Mimi). The film starts with their love story. The lovebirds are in a live-in relationship. The film takes a turn when Rudra goes to a particu...",India,6.4,116 min
Yaariyan,2014,"Drama, Romance",Not Rated,tt3382148,Sanjeev Dutta,Divya Khosla Kumar,"Himansh Kohli, Rakul Preet Singh, Nicole Faria",A college student must win an inter college competition to save his college from being demolished by property builders.,India,2.7,145 min
Rocky Handsome,2016,"Action, Crime, Drama",Not Rated,tt3410408,Ritesh Shah,Nishikant Kamat,"John Abraham, Nishikant Kamat, Sharad Kelkar",A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,India,6.8,119 min
Ice Age: Collision Course,2016,"Animation, Adventure, Comedy",PG,tt3416828,Michael J. Wilson,"Michael Thurmeier, Galen T. Chu","Ray Romano, Denis Leary, John Leguizamo","When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.","United States, United Kingdom",5.7,94 min
Apur Panchali,2013,"Drama, Family, History",N/A,tt3438252,Kaushik Ganguly,Kaushik Ganguly,"Parambrata Chattopadhyay, Parno Mittra, Ardhendu Banerjee","This is a real life story inspired by Subir Banerjee,the little child actor who played the iconic role of Apu in Pather Panchali.",India,8.2,97 min
Manjhi: The Mountain Man,2015,"Biography, Drama",TV-14,tt3449292,Shahzad Ahmed,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte, Ashutosh Acharya","Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",India,8,120 min
Paul Blart: Mall Cop 2,2015,"Action, Comedy, Crime",PG,tt3450650,Kevin James,Andy Fickman,"Kevin James, Raini Rodriguez, Eduardo Verástegui","After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blar...",United States,4.4,94 min
Phantom,2015,"Action, Drama, Thriller",Not Rated,tt3469244,Hussain Zaidi,Kabir Khan,"Saif Ali Khan, Katrina Kaif, Sabyasachi Chakrabarty",A disgraced Indian soldier carries out a series of assassinations in the hope of restoring his honour.,India,5.9,136 min
Dum Laga Ke Haisha,2015,"Comedy, Drama, Romance",Not Rated,tt3495030,Sharat Katariya,Sharat Katariya,"Ayushmann Khurrana, Bhumi Pednekar, Sanjay Mishra",Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,India,7.5,109 min
Cars 3,2017,"Animation, Adventure, Comedy",G,tt3606752,Brian Fee,Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,"United States, Japan",6.7,102 min
Badlapur,2015,"Action, Crime, Drama",Not Rated,tt3678782,Massimo Carlotto,"Sriram Raghavan, Mehmet Tutkun","Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam",Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.,India,7.4,134 min
Humpty Sharma Ki Dulhania,2014,"Comedy, Drama, Romance",Not Rated,tt3678938,Shashank Khaitan,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Ashutosh Rana","A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra, she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.",India,6,133 min
Dishoom,2016,"Action, Adventure, Comedy",Not Rated,tt3679060,Rohit Dhawan,Rohit Dhawan,"John Abraham, Varun Dhawan, Jacqueline Fernandez","When India's top batsman goes missing in the Middle East, two mismatched cops must team up for a 36-hour manhunt before the cricket final.",India,5.1,124 min
CityLights,2014,"Drama, Thriller",Not Rated,tt3709344,Sean Ellis,Hansal Mehta,"Rajkummar Rao, Patralekhaa Paul, Manav Kaul","Deepak Singh is a farmer in Rajasthan. After a tragedy, he migrates to Mumbai with his wife and child to lead a better life. However, upon arriving, he soon discovers the challenges of life in a big city.",India,7.3,126 min
3 AM: A Paranormal Experience,2014,"Horror, Romance",Not Rated,tt3720634,Vishal Mahadkar,Vishal Mahadkar,"Salil Acharya, Kavin Dave, Jason Matthew Ethier",The story of the movie revolves around three friends who are going to make a reality show on the existence of ghosts in the world.,India,4.4,103 min
Bajirao Mastani,2015,"Action, Drama, History",Not Rated,tt3735246,Nagnath S. Inamdar,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",India,7.2,158 min
Rendez-Vous,2015,"Drama, Romance",TV-MA,tt3755362,Marjolein Beumer,Antoinette Beumer,"Loes Haverkort, Marwan Kenzari, Anna Drijver",She had a dream and achieving it didn't seem that difficult. Or so she thought.,Netherlands,5.6,100 min
Piku,2015,"Comedy, Drama",Not Rated,tt3767372,Juhi Chaturvedi,Shoojit Sircar,"Deepika Padukone, Amitabh Bachchan, Irrfan Khan","A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.",India,7.6,123 min
The Shaukeens,2014,Comedy,N/A,tt3848888,Sai Kabir,Abhishek Sharma,"Akshay Kumar, Lisa Haydon, Anupam Kher",Three friends in their 60s try to do everything that they couldn't do in their younger days - before death arrives.,India,4.9,124 min
Baby,2015,"Action, Crime, Thriller",Not Rated,tt3848892,Neeraj Pandey,Neeraj Pandey,"Akshay Kumar, Danny Denzongpa, Rana Daggubati","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",India,7.9,159 min
Mohenjo Daro,2016,"Action, Adventure, Drama",Not Rated,tt3859980,Ashutosh Gowariker,Ashutosh Gowariker,"Hrithik Roshan, Pooja Hegde, Kabir Bedi","In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro.",India,5.6,155 min
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",Not Rated,tt3863552,Vijayendra Prasad,"Kabir Khan, Mehmet Tutkun","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,India,8.1,163 min
The Boss Baby,2017,"Animation, Adventure, Comedy",PG,tt3874544,Michael McCullers,Tom McGrath,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",United States,6.3,97 min
Deya Neya,1963,Drama,Not Rated,tt3918808,Bidhayak Bhattacharya,Sunil Bannerjee,"Uttam Kumar, Tanuja Samarth, Ratan Banerjee",The son of a wealthy industrialist aspires to be a singer against the wishes of his father.,India,8.2,107 min
89,2015,"Crime, Mystery, Thriller",N/A,tt3947356,Samik Roy Choudhury,Manoj Michigan,"Saswata Chatterjee, Raima Sen, Shataf Figar","89 is a gripping crime thriller that journeys through trauma, psychological warfare, murders and finally retribution.",India,6.3,109 min
Suntan,2016,Drama,Unrated,tt3954660,Argyris Papadimitropoulos,Argyris Papadimitropoulos,"Makis Papadimitriou, Elli Tringou, Hara Kotsali","On a hedonistic Greek island, a middle-aged doctor becomes obsessed with a young tourist when she lets him tag along with her group of hard partying friends.","Greece, Germany",6.6,104 min
Hanuman.com,2013,Drama,N/A,tt4105550,Gaurav Pandey,Gaurav Pandey,"Mousumi Bhattacharya, Oliver Bigalke, Prasenjit Chatterjee","Teacher barters his familiar life for the world of .com,little knowing that happiness would slip through his fingers like water. The euphoria of having found a friend online takes a beating when he stands witness to an untoward in...",India,5.4,N/A
Dil Dhadakne Do,2015,"Comedy, Drama, Romance",Not Rated,tt4110568,Zoya Akhtar,Zoya Akhtar,"Anil Kapoor, Shefali Shah, Priyanka Chopra Jonas",The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.,India,7,170 min
Chotushkone,2014,Thriller,N/A,tt4115752,Annapurna Basu,Srijit Mukherji,"Aparna Sen, Chiranjit, Goutam Ghose",Four famous directors and old friends are reunited together by an unknown producer to make a film. They make four short story in this film with one theme: Death.,India,8.2,148 min
Na Hannyate,2012,Drama,N/A,tt4163510,Riingo Banerjee,Riingo Banerjee,"Rahul Banerjee, Sayani Datta, Sankar Debnath","Jui,who is caught in a situation where she could save only one of her kids and leave the other to die.",India,7.1,136 min
Teen Yaari Katha,2012,"Comedy, Drama",N/A,tt4192240,Anindya Bose,"Abhijit Guha, Sudeshna Roy","Sujan Mukherjee, Rudranil Ghosh, Parambrata Chattopadhyay",The story narrates three adult boy's life from three different background.,India,7.2,113 min
Badshahi Angti,2014,"Adventure, Mystery, Thriller",Not Rated,tt4265964,Sandip Ray,Sandip Ray,"Abir Chatterjee, Sourav Das, Paran Banerjee",A well-known detective must catch a thief who seems to be trying to steal the ring of the long-dead Mughal emperor Aurangzeb.,India,6.6,109 min
Ebar Shabor,2015,"Crime, Mystery, Thriller",TV-14,tt4328756,Padmanabha Dasgupta,Arindam Sil,"Saswata Chatterjee, Swastika Mukherjee, Abir Chatterjee","A much-experienced police detective, Mr. Shabor Dasgupta (Saswata Chatterjee), is assigned to do the task of solving the mystery of the murder of Mitali Ghosh (Swastika Mukherjee), a woman with a messy past, who was killed on the ...",India,7.2,124 min
Shukno Lanka,2010,Family,N/A,tt4338242,N/A,Gaurav Pandey,"Paban Das Baul, Emma Brown Garett, Sabyasachi Chakrabarty","A Junior artist living in a tinsel town, who is yet to taste success after a struggle of 30 years of acting career, gets the shock of his life when a prolific filmmaker, offers him a lead role in his next film.",India,8.2,N/A
Airlift,2016,"Action, Drama, History",Not Rated,tt4387040,Raja Menon,Raja Menon,"Akshay Kumar, Nimrat Kaur, Kumud Mishra","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",India,7.9,130 min
Fitoor,2016,"Drama, Romance",N/A,tt4399594,Charles Dickens,Abhishek Kapoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu",Modern adaptation of Charles Dickens' Great Expectations; a poor but talented boy falls in love with a girl from an affluent family.,India,5.4,131 min
Pyaar Ka Punchnama 2,2015,"Comedy, Drama, Romance",Not Rated,tt4430136,Luv Ranjan,Luv Ranjan,"Kartik Aaryan, Omkar Kapoor, Sunny Singh","After falling in love, three roommates experience changes in their lives.",India,7.3,137 min
Drishyam,2015,"Crime, Drama, Mystery",Not Rated,tt4430212,Jeethu Joseph,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",India,8.2,163 min
Captain Vyom,1998–1999,"Action, Sci-Fi",N/A,tt4631018,N/A,N/A,"Kartika Rane, Milind Soman, Shehzaad Saeed",A superhero Captain Vyom is given a team of some exceptionally-powered soldiers to fight 12 great villains of all-time who escaped the prison located on a moon of Jupiter.,India,8.4,24 min
Masaan,2015,Drama,N/A,tt4635372,Akbar Allahabadi,Neeraj Ghaywan,"Richa Chadha, Sanjay Mishra, Vicky Kaushal","Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.","India, France",8.1,109 min
Belaseshe,2015,"Drama, Family",N/A,tt4658770,Shiboprosad Mukherjee,"Shiboprosad Mukherjee, Nandita Roy, Jyoti Hazra","Soumitra Chatterjee, Swatilekha Sengupta, Rituparna Sengupta","A story of relationships that explores the intricacies of the married life, of life-long companionship, of promises and expectations and love.",India,8.5,141 min
Kadambari,2015,"Drama, History",Not Rated,tt4658786,Suman Ghosh,Suman Ghosh,"Konkona Sen Sharma, Parambrata Chattopadhyay, Kaushik Sen","Kadambari is based on the unique relationship between Rabindranath Tagore and his sister-in-law, Kadambari Devi. The film is a sensitive amalgamation of myth and reality structured in the form of a drama.",India,7,87 min
Great Grand Masti,2016,"Comedy, Drama, Fantasy",N/A,tt4675030,Tushar Hiranandani,Indra Kumar,"Urvashi Rautela, Riteish Deshmukh, Vivek Oberoi","Amar, Meet and Prem go into a small town where they encounter a 'femme fatale' in the form of Ragini. Ragini is everything they had dreamed of, but she slowly turns into their worst nightmare!",India,3.7,134 min
Ki & Ka,2016,"Comedy, Romance",Not Rated,tt4744086,R. Balki,R. Balki,"Amitabh Bachchan, Kareena Kapoor, Arjun Kapoor","Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.",India,5.7,126 min
War Machine,2017,"Comedy, Drama, War",TV-MA,tt4758646,Michael Hastings,David Michôd,"Brad Pitt, Daniel Betts, John Magaro","An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan.",United States,6,122 min
Sultan,2016,"Action, Drama, Romance",Not Rated,tt4832640,Ali Abbas Zafar,Ali Abbas Zafar,"Salman Khan, Anushka Sharma, Randeep Hooda","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",India,7,170 min
Baahubali 2: The Conclusion,2017,"Action, Drama",Not Rated,tt4849438,Vijayendra Prasad,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty","Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.",India,8.2,167 min
Hate Story 3,2015,"Drama, Thriller",Not Rated,tt4865436,Vikram Bhatt,Vishal Pandya,"Sharman Joshi, Karan Singh Grover, Zareen Khan",Siya appears to be the bone of contention between warring businessmen Aditya and Saurav. But this one runs deeper than your average love triangle.,India,4.6,126 min
Neon Bull,2015,Drama,Unrated,tt4899406,Marcelo Gomes,Gabriel Mascaro,"Juliano Cazarré, Maeve Jinkings, Josinaldo Alves","Iremar works at the rodeo in North East of Brazil. From his home, the truck used to transport the animals, he dreams of a future in the region's booming clothing industry.","Brazil, Uruguay, Netherlands",6.8,101 min
Kapoor & Sons,2016,"Comedy, Drama, Family",Not Rated,tt4900716,Shakun Batra,Shakun Batra,"Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah",The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.,India,7.7,132 min
Azhar,2016,"Biography, Drama, Sport",Not Rated,tt4906984,Rajat Arora,Anthony D'Souza,"Emraan Hashmi, Nargis Fakhri, Prachi Desai","Biographical sports drama based on the life of former Indian international cricketer, Mohammad Azharuddin",India,5.7,130 min
Uro Chithi,2011,Drama,N/A,tt5009100,Anindya Chatterjee,Kamaleswar Mukherjee,"Biswanath Basu, Biswajit Chakraborty, Sudipta Chakraborty",Sorting through a backlog of email proves nostalgic and illuminating for a young alcoholic.,India,5.9,130 min
Befikre,2016,"Comedy, Drama, Romance",Not Rated,tt5108476,Aditya Chopra,"Aditya Chopra, Raj Basu","Ranveer Singh, Vaani Kapoor, Ayesha Raza Mishra","It is a carefree love story of Dharam and Shyra, who find love in an engaging series of experiences. Doused in the spirit of Paris, it celebrates a sensual and free-spirited love.",India,4.1,130 min
Force 2,2016,"Action, Adventure, Thriller",Not Rated,tt5156746,Jasmeet K Reen,Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin",ACP Yashvardhan teams up with RAW Agent KK to bring down the mole within RAW.,India,6.2,127 min
Rustom,2016,"Crime, Drama, Thriller",Not Rated,tt5165344,Vipul K. Rawal,Tinu Suresh Desai,"Akshay Kumar, Ileana D'Cruz, Arjan Bajwa","A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",India,7,148 min
Baar Baar Dekho,2016,"Action, Comedy, Drama",Not Rated,tt5197544,Sri Rao,Nitya Mehra,"Sidharth Malhotra, Katrina Kaif, Sayani Gupta",The highs and lows of a romantic relationship are examined through flashbacks and flash-forwards.,India,5.4,141 min
Around the Sun,2019,Drama,N/A,tt5219958,Jonathan Kiefer,Oliver Krimpas,"Cara Theobold, Gethin Anthony","Touring a repossessed chateau, a film location scout falls for its flirtatious representative, who recounts the story of an influential book written there. But is their connection for real, or just a projection of the book's chara...",United Kingdom,5.6,78 min
Namte Namte,2013,Drama,N/A,tt5281646,Rana Dasgupta,Rana Basu,"Bhaswar Chatterjee, Saswata Chatterjee, Rajatabha Dutta","Ananda, a peace-loving person, lives with his wife Seema and daughter Dolon. Things turn upside down when he seeks help from a small-time criminal to get rid of his daily tribulations.",India,6.2,124 min
Katakuti,2011,"Drama, Family",Not Rated,tt5282110,Premangshu Roy,Premangshu Roy,"Dwijen Banerjee, Rahul Banerjee, Biswajit Chakraborty",N/A,India,4.8,121 min
8:08 Er Bongaon Local,2012,Drama,N/A,tt5470672,Padmanabha Dasgupta,Debaditya Bandyopadhyay,"Bhaskar Banerjee, Haradhan Bannerjee, Barun Chakraborty",Ananta Das is a normal middle class man like any other. Every day he avails the 8:08 A.M Bongaon Local to Kolkata to attain his office. Some known and unknown common people are his companions throughout his journey every day. He h...,India,N/A,125 min
Meri Pyaari Bindu,2017,"Comedy, Drama, Romance",Not Rated,tt5472374,Soumik Sen,Akshay Roy,"Ayushmann Khurrana, Parineeti Chopra, Nishant Dahiya","Abhimanyu Roy returns to his roots to write an old-fashioned love story, 3 years in the making. This writer's block is called Bindu. How do you contain this live wire in a book?",India,6,117 min
Swade Ahlade,2015,Drama,N/A,tt5482998,N/A,Arindam Sil,"Biswanath Basu, Biswajit Chakraborty, Nina Chakraborty","Life at 40, for the quiet natured Chaitali, starts becoming meaningless. In a family of a scheming mother-in-law, a formidable father-in-law and a non-attention giving husband, Chaitali begins questioning her self-worth. However, ...",India,6.8,130 min
Pink,2016,"Crime, Drama, Thriller",Not Rated,tt5571734,Shoojit Sircar,Aniruddha Roy Chowdhury,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",India,8.1,136 min
A Gentleman,2017,"Action, Comedy",Not Rated,tt5613834,Raj Nidimoru,"Krishna D.K., Raj Nidimoru","Sidharth Malhotra, Jacqueline Fernandez, Darshan Kumaar","Gaurav, a simple hard working guy for a white collar job visits Mumbai for a meeting where his doppelganger is about to bring chaos in his life.",India,6.2,145 min
Madaari,2016,"Drama, Thriller",Not Rated,tt5713232,Shailja Kejriwal,Nishikant Kamat,"Irrfan Khan, Jimmy Shergill, Vishesh Bansal","When Nirmal loses his family in a disaster caused by government corruption, he embarks on a journey seeking accountability and revenge.",India,7.6,133 min
