Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director,Actors,Plot,Country,IMDb Rating,Runtime
Gangs of Wasseypur,2012,"Action, Comedy, Crime",Not Rated,tt1954470,Akhilesh Jaiswal,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",India,8.2,321 min
Tomorrowland,2015,"Action, Adventure, Family",PG,tt1964418,Damon Lindelof,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.","United States, Spain, France, Canada, United Kingdom",6.4,130 min
The Angry Birds Movie,2016,"Animation, Action, Adventure",PG,tt1985949,Jon Vitti,"Clay Kaytis, Fergal Reilly","Jason Sudeikis, Josh Gad, Danny McBride","When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.","Finland, United States",6.3,97 min
Chaplin,2011,Drama,N/A,tt2040306,Anindya Bandopadhyay,Anindya Bandopadhyay,"Rudranil Ghosh, Soham Maitra, Srijit Mukherji","Bangshi Das is an impersonator of Charlie Chaplin. He earns peanuts by being the 'joker' at birthday parties. However, he prefers to call himself an actor rather than a worker. His life circles around his son who is the greatest c...",India,7.5,123 min
22 Shey Shraban,2011,"Action, Crime, Drama",Not Rated,tt2075108,Annapurna Basu,Srijit Mukherji,"Prasenjit Chatterjee, Parambrata Chattopadhyay, Raima Sen",An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.,India,8.1,139 min
Barfi!,2012,"Comedy, Drama, Romance",Not Rated,tt2082197,Anurag Basu,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,India,8.1,151 min
Inside Out,2015,"Animation, Adventure, Comedy",PG,tt2096673,Pete Docter,"Pete Docter, Ronnie Del Carmen","Amy Poehler, Bill Hader, Lewis Black","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school.","United States, Japan",8.1,95 min
"McFarland, USA",2015,"Biography, Drama, Sport",PG,tt2097298,Christopher Cleveland,Niki Caro,"Kevin Costner, Maria Bello, Ramiro Rodriguez","Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region.",United States,7.4,129 min
Matru Ki Bijlee Ka Mandola,2013,"Comedy, Drama",Not Rated,tt2106537,Vishal Bhardwaj,Vishal Bhardwaj,"Pankaj Kapur, Imran Khan, Anushka Sharma","Harry is an industrialist who loves his daughter Bijlee, and the bond they share with Harry's man friday, Matru. Bijlee's plan to wed the son of a politician, however, brings twists and turns in the lives of Matru, Bijlee and Mand...",India,5.6,151 min
Chennai Express,2013,"Action, Comedy, Drama",Not Rated,tt2112124,K. Subhash,Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj",A man travelling to Rameshwaram via Chennai express in order to immerse his late grandfather's ashes finds himself in trouble after helping a don's daughter and her cousins board the train.,India,6.1,141 min
Ferrari Ki Sawaari,2012,"Comedy, Drama, Family",Not Rated,tt2122340,Vidhu Vinod Chopra,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritvik Sahore",How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.,India,6.4,140 min
Royal Bengal Rahasya,2011,"Adventure, Thriller",Not Rated,tt2133312,Sandip Ray,Sandip Ray,"Sabyasachi Chakrabarty, Saheb Bhattacharjee, Bibhu Bhattacharya","Feluda and his gang gets invited to North Bengal by a wealthy Zamindar to solve a piece of a puzzle supposedly leading to buried ""treasure"", but things take a turn for the unexpected with a mysterious death and rumors about a man-...",India,7.3,106 min
Gorosthane Sabdhan,2010,"Crime, Mystery",N/A,tt2136956,Sandip Ray,Sandip Ray,"Sabyasachi Chakrabarty, Saheb Bhattacharjee, Bibhu Bhattacharya","A sudden violent storm takes Kolkata by sutprise. It also Narendra Nath Biswas injured, hit by a falling tree in the Park Street Cemetery. ... or was it the work of some unknown assailant? Feluda investigates and soon encounters e...",India,6.9,100 min
Rock on 2,2016,"Drama, Music",Not Rated,tt2137241,Abhishek Kapoor,Shujaat Saudagar,"Farhan Akhtar, Shraddha Kapoor, Arjun Rampal","The band, Magik reunites with some new members.",India,4.9,143 min
Cocktail,2012,"Comedy, Drama, Romance",Not Rated,tt2168910,Imtiaz Ali,Homi Adajania,"Saif Ali Khan, Deepika Padukone, Diana Penty","A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.","United Kingdom, India",6.3,146 min
